order_status,total_orders
delivered,96478
shipped,1107
canceled,625
unavailable,609
invoiced,314
processing,301
created,5
approved,2
payment_type,total_revenue
credit_card,12542084.19
boleto,2869361.27
voucher,379436.87
debit_card,217989.79
not_defined,0.0
order_id,customer_unique_id,order_status,order_purchase_timestamp
00e7ee1b050b8499577073aeb2a297a1,861eff4711a542e4b93843c6dd7febb0,delivered,"2017-05-16 15:05:35"
29150127e6685892b6eab3eec79f59c7,290c77bc529b7ac935b93aa66c333dc3,delivered,"2018-01-12 20:48:24"
b2059ed67ce144a36e2aa97d2c9e9ad2,060e732b5b29e8181a18229c7b0b2b5e,delivered,"2018-05-19 16:07:45"
951670f92359f4fe4a63112aa7306eba,259dac757896d24d7702b9acbbff3f3c,delivered,"2018-03-13 16:06:38"
6b7d50bd145f6fc7f33cebabd7e49d0f,345ecd01c38d18a9036ed96c73b8d066,delivered,"2018-07-29 09:51:30"
5741ea1f91b5fbab2bd2dc653a5b5099,4c93744516667ad3b8f1fb645a3116a4,delivered,"2017-09-14 18:14:31"
36e694cf4cbc2a4803200c35e84abdc4,addec96d2e059c80c30fe6871d30d177,delivered,"2018-02-19 14:38:35"
1093c8304c7a003280dd34598194913d,57b2a98a409812fe9618067b6b8ebe4f,delivered,"2017-11-16 19:29:02"
1ebeea841c590e86a14a0d7a48e7d062,1175e95fb47ddff9de6b2b06188f7e0d,delivered,"2018-01-18 12:35:44"
7433cbcc783205509d66a5260da5b574,9afe194fb833f79e300e37e580171f22,delivered,"2018-01-08 11:22:34"
avg_revenue_per_customer
160.990266693484
order_id,delivery_date
e481f51cbdc54678b7cc49136f2d6af7,"2017-10-10 21:25:13"
53cdb2fc8bc7dce0b6741e2150273451,"2018-08-07 15:27:45"
47770eb9100c2d0c44946d9cf07ec65d,"2018-08-17 18:06:29"
949d5b44dbf5de918fe9c16f97b45f8a,"2017-12-02 00:28:42"
ad21c59c0840e6cb83a9ceb5573f8159,"2018-02-16 18:17:02"
a4591c265e18cb1dcee52889e2d8acc3,"2017-07-26 10:57:55"
6514b8ad8028c9f2cc2374ded245783f,"2017-05-26 12:55:51"
76c6e866289321a7c93b82b54852dc33,"2017-02-02 14:08:10"
e69bfb5eb88e0ed6a785585b27e16dbf,"2017-08-16 17:14:30"
e6ce16cb79ec1d90b1da9085a6118aeb,"2017-05-29 11:18:31"
customer_id,total_spent
0001fd6190edaaf884bcaf3d49edf079,195.42
0002414f95344307404f0ace7a26f1d5,179.35
00046a560d407e99b969756e0b10f282,166.59
000598caf2ef4117407665ac33275130,1255.71
00066ccbe787a588c52bd5ff404590e3,270.0
0009a69b72033b2d0ec8c69fc70ef768,173.6
0012a5c13793cf51e253f096a7e740dd,369.92
0013280441d86a4f7a8006efdaf1b0fe,162.15
00146ad30454993879adaa91c518f68c,221.79
001574cd5824c0b1ea90dd4f4ba6d5b8,184.94
0015f7887e2fde13ddaa7b8e385af919,186.74
00205ad9ba1ef4340cef86583294cf82,928.7
002348c1099e3229276c8ad7d4ddc702,249.56
002408f390f729598bbac1ef9421c6ae,258.01
002554bdf9eb99618d8189c3a89fdd52,244.08
002834b4d901534f48d9e9a72047b288,214.14
0029cdf064769cabdf3186b54d068c99,483.7
